Response,Annotator1,Annotator2,Annotator3,Score
Is there a genre of creativity that you can think of in your childhood that you wanted to pursue?,0,0,0,0
Can you elaborate a creative domain while imagining your childhood feelings?,0,0,0,0
,,,,
What do you feel like doing now? (user click on the three options provided),,,,
Tell me about ways that this inspires you! What does this make you feel like doing? ,0,0,0,0
How are you up to doing anything today?  I am always up to talking to people and helping them the best I can.,1,1,1,1
What area do you feel you want to explore now? I love to help people to become creative whenever possible!,0,1,1,1
"Which area do you feel yourself leaning towards now? By the way, I always like to give advice to people!",1,0,0,0
"Is there a particular area you feel like doing now? I know when I'm trying to come up with something I like to just write down anything that comes to mind, and find my ideas from there.",0,0,1,0
What are you in the mood to do at the moment that would make you happy?,0,0,0,0
"Tell me, what would you like to do now? Remember, I am here to help you!",0,0,0,0
Which area do you feel like doing now? Put on your magnifying glass and start inspecting.,1,0,0,0
"Is there an area you'd like to focus on right now? For instance, I always find talking to people and offering them some help.",1,1,1,1
What do you want to do next? I like to mention one or two words to jog peoples' memories when I am talking to them.,0,0,1,0
"Which area you're up to doing now? For me, I love to help people like you whenever possible!",1,1,0,1
"Choose an area you feel like pursuing. I can give you pointers to get started, but it's all up to you.",0,0,0,0
"Which area do you feel like doing now? As for me, I always love to talk to people and offer them a 'word' or two to help them in the best way possible.",1,1,1,1
How are you up to doing anything today? I am always up to talk to people and help them the best I can.,0,1,0,0
What area do you feel you want to explore right now? I love to help people to be creative whenever possible!,1,1,1,1
What area do you now feel you want to explore?,0,0,0,0
"By the way, I always like to give advice. To what area you feel to be leaning to now?",1,0,0,0
Which direction do you feel yourself leaning towards now?,0,0,0,0
Is there specific area where you feel like exploring?,0,0,0,0
Is there a particular area you feel like tackling now?,0,0,0,0
Which area are you in the mood to do at the moment that would make you happy?,1,0,1,1
"Enlighten me, what would you like to do right now? Remember that I am here to help you!",1,1,1,1
Put your magnifying glass on and begin inspecting. Which area you feel like doing?,1,0,1,1
Is there any area you would like to concentrate right now on?,0,0,0,0
"Is there an area you would like to focus right now? For example, I always like talking to people and giving them some help.",1,1,1,1
I like to mention one or two words to to jog the memory of people if I am talking to them. What do you feel like doing next?,1,1,1,1
Which area you are going to be doing now? For me I love to help people like you whenever possible!,0,1,0,0
"Decide on an area you feel like pursuing. I can give you tips on where to begin, but it's all up to you.",0,0,1,0
"In which area do you feel you aspire to now? By the way, I always like to give advice to people!",1,0,1,1
I like to mention one or two words to to jog the memory of people if I am talking to them. Can you decide what you feel like doing next?,1,1,1,1
,,,,
Let me introduce you to some useful {SAT protocols}. Try to practise these exercises as often as possible when you are free to enhance your various expressions which also helps increase your creative potential. (User click on my suggestions),,,,
Allow me to introduce you to some useful {SAT protocols}. Try your best to practise these exercises frequently to enhance your various expressions. This will help you increase your creative potential. ,1,1,1,1
I've got some tips on the {SAT protocols} which might help. It's a good idea to try to use them as often as you can.,0,0,0,0
Let me introduce you to some useful {SAT protocols}. Master these practice can enhance your abilities and various emotions.,1,1,0,1
Here's some {SAT protocols}. These exercises can enhance your expressions and increase your creative potential. I recommended doing them as often as possible. ,1,1,1,1
"I'm going to work with you on {SAT protocols}. If you practise these exercises as often as you can, it wil definitely help you to reach your creative potential.",0,0,1,0
Here are some useful {SAT protocols}. Practise these exercises when you're free. They'll increase your creative potential through enhancements to your various expressions.,1,1,1,1
"I'm going to show you some useful {SAT protocols}. If you can, try to practise these exercises as often as possible in your free time - you may increase your various expressions and creative potential.",0,0,1,0
"Check out these {SAT protocols}. Do some drills in these activities as soon you're free, it'll help build your expressions - it will help boost your various emotions and build creativity.",1,1,0,1
"Can I please introduce you to some useful {SAT protocols}. It's best to try to practise these exercises as often as possible, it helps to enhance your various expressions which also helps increase your creative potential.",1,1,1,1
"Now I want to show you some useful {SAT protocols}. If you practise these exercises as often as possible in your free time, you'll enhance your expressions which will help to further unlock your creative potential.",1,1,1,1
I will introduce some {SAT protocols} to you. You must put in the effort to perform them at your free time to boost your various emotions and perhaps achieve creativity.,0,0,0,0
Let me introduce you to some useful {SAT protocols} and try to practise these exercises frequently to strengthen your various expressions. This will help you enhance your creative potential.,1,1,1,1
Test your best to practise these {SAT protocols} frequently to enhance your various expressions.This will help you expand your creative potential.,0,0,0,0
I've got some tips in these {SAT protocols} which might help to enahnce your emotions. I 'd say it's a good idea to try to use them as often as you can.,0,0,0,0
Let me introduce you to some useful {SAT protocols} to master. Try practise them more to enhance your abilities and various emotions .,1,1,0,1
Let me introduce you to some useful {SAT protocols}. Master these exercises to rework your abilities and various emotions.,0,0,0,0
"I will work with you on some {SAT Protocols}, if you practise these exercises as often as you can it will definitely help you to boost your various emotions and reach your creative potential.",0,0,1,0
"When you practise these exercises as often as you can, it will certainly help you to enhance emotions and reach your creative potential. So, here are some {SAT protocols}.",1,1,1,1
Here are some helpful {SAT protocols} that you should often practise when you're free. These exercises will increase your creative potential through boosting your various expressions.,0,0,1,0
"Here are some useful {SAT protocols}, practise these exercises often when you are free, they increase your creativity potential through enhancements of your various expressions.",1,1,0,1
"I will show you some useful {SAT protocols}, try to practise these exercises as often as possible in your free time, you may increase your various expressions and creative potential if you can.",0,0,1,0
Check out these {SAT protocols} and perform some drills in these activities as soon as you're free. It'll help build your expressions and your creativity.,1,1,0,1
I am here to introduce you to some useful {SAT protocols}. It's best to try to practise these exercises as often as possible as it helps to enhance your various expressions which also helps to boost your creative potential.,0,0,0,0
"Can I introduce you to some useful {SAT protocols}. I would prefer practise these exercises as often as possible, it helps to improve your various expressions, which also helps increase your creative potential.",0,0,0,0
"Now I want to show you some useful {SAT protocols} to help enhance your expressions. If you practise these exercises in your free time as often as you can, you may further unlock your creative potential.",1,1,1,1
"Now I want to show you some useful {SAT protocols}. if you practise these exercises in your free time as often as possible, you'll improve your expressions, which in turn will help you to further unlock your creative potential.",1,1,1,1
"Now, I will introduce some {SAT protocols} to you.You shall put in the effort to perform them at your free time to energize your various emotions and possibly achieve creativity.",0,0,0,0
I will introduce some {SAT protocols} to you. You must put in a good effort to perform them in your free time to enhance your various emotions and maybe achieve creativity.,0,0,0,0
Let me introduce you to some useful {SAT protocols}. Try to practise these exercises as often as possible when you are free to enhance your various expressions which also helps increase your creative potential.,1,1,1,1
"Let me introduce you to some useful {SAT protocols}, try to practise these exercises as often as possible when you have a free time to enhance your various expressions which also helps you to increase your creative potential",0,0,0,0
,,,,
"Please try to go through this {protocol} now and discover an unlimited spectrum of emotions of yours. When finished, please press 'continue'. (User click continue)",,,,
"Please try your best to go through this {protocol} now and find an unlimited spectrum of emotions of yours. When you are done, please press 'continue'. ",1,1,1,1
Give this {protocol} a go and see how you feel. Press continue when you are ready.,0,0,0,0
"Please try to go through this {protocol} to discover your potential of your emotions. When finished, press continue.",0,0,0,0
"Have a try at this {protocol} now and you could discover a range of emotions. Once you've completed the activity, please press continue. ",1,1,0,1
"Let's go through this {protocol} now. It'll help you to better understand your full range of emotions. When you're done, just click 'continue' to move on.",1,1,1,1
"Now, let's try this {protocol} to help explore an unlimited spectrum of emotions. When finished, press 'continue'.",0,0,0,0
"Please go through this {protocol} now - you could discover a spectrum of emotions you never knew you could access. When finished, please press 'continue'.",1,1,1,1
"Hey, could you try this {protocol} out? It may help open out your emotions. When you're done, hit 'continue'. ",0,0,0,0
"Can we please try to go through this {protocol} now to discover an unlimited spectrum of emotions of yours. When finished, please press 'continue'.",0,0,0,0
"This {protocol} is designed to help you discover your unlimited emotional spectrum, give it a go. Once finished, be sure to press the 'continue' button.",1,1,1,1
"If you now go through this {protocol}, it will be of growth to you to learn about your emotions. When you have completed it you may press 'continue'.",1,1,1,1
"Please try your best to go through this {protocol} and find an unlimited range of emotions to yours now. When finished, please press 'continue'.",1,1,1,1
Please try your best to go through this {protocol} now and find an unlimited spectrum of emotions to yours.,0,1,0,0
"Give this {protocol} a go and see how you feel, then press continue when you are ready.",0,0,0,0
Give this {protocol} a try and see how you feel and press continue if you are ready.,0,0,0,0
"Please try to go through this {protocol} to discover your potential based on your emotions. When finished, press continue.",0,0,1,0
"Now try this {protocol} and you could discover a variety of emotions. Once you've complete the activity, click Continue",1,0,0,0
"Now try out this {protocol} and you could exploit a range of emotions. Once the activity is completed, please press Continue.",1,1,0,1
"Have a tad a try with this {protocol} now and you could discover a variety of emotions. Once you've completed the activity, please press continue.",0,0,1,0
"Let's now go through this {protocol} to help you understand your full range of emotions better. When you're done, just click continue to move on.",1,1,1,1
"Let's go through this {protocol} now, it will help you understand your full range of emotions, and if you are done, please click continue. ",1,1,1,1
"Let's try this {protocol} now to help explore an unlimited spectrum of emotions, then press continue when finished.",0,0,0,0
"Please go through this {protocol} now - you could discover various emotions you never knew could be accessed. When finished, please press continue.",1,1,1,1
"Please go through this {protocol} now, you could uncover a spectrum of emotions you never knew you could access. Once finished, please press continue.",1,1,1,1
"Hey, could you try out this {protocol}? It could help open your emotions. When you're done, hit continue.",0,0,0,0
"Hey, could you try this {protocol} out? It may help open up your emotions. When your done, hit continue.",0,0,0,0
"Can we please try to proceed through this {protocol} to discover your unlimited spectrum of emotions now .When finished, please press 'continue'.",1,1,1,1
"This {protocol} is designed to help you discover the infinite euphoric spectrum of yours. Once completed, be sure to press the continue button.",0,0,1,0
"Now please proceed through this {protocol}, it will be a growth aid to you about yourself. If you have done it, you may press continue.",0,0,0,0
"Please try to go through this {protocol} now and discover an unlimited spectrum of emotions of yours. When finished, please press 'continue'.",1,1,1,1
,,,,
Would you like another {SAT protocol} to help enhance your emotions? (User answer yes or no)),,,,
Would you like another {SAT protocol} to assist with enhancing your emotions?,0,0,1,0
Do you want any more tips from the {SAT protocol}?,0,0,0,0
Would you like another {SAT protocol} to reach a new level of your emotions?,1,0,1,1
Would you like to try another {SAT protocol}?,0,0,0,0
Would you like another {SAT protocol} to help discover and work through your emotions?,0,0,1,0
"Now, would you like another {SAT protocol} to help enhance your emotions?",1,0,1,1
If you feel able for it today -could you try another {SAT protocol} to help unlock more of your emotions?,1,0,1,1
How did that feel? Do you wanna try another {SAT protocol} to open out your emotions?,1,0,1,1
"Would you like another {SAT protocol}, it will help enhance your emotions?",0,0,0,0
How are you feeling about things so far? Would you like another {SAT protocol} to help you to enhance your emotional state?,1,1,1,1
Do you need more {SAT protocol} to enhance emotions?,0,0,0,0
Would you like another {SAT protocol} to help with enhancing your emotions?,0,0,1,0
Would you like another {SAT protocol} to assist you in enhancing your feelings?,0,0,1,0
Would you like another {SAT protocol} to reach a new level of enhancing your emotions?,1,0,0,0
Would you like another {SAT protocol} to reach a new level of enhancing your emotions to achieve?,0,0,1,0
Would you like another {SAT protocol} to help discover your emotions and work them out?,0,0,1,0
Do you want another {SAT protocol} to help enhancing your emotions?,1,0,0,0
Would you like to get another {SAT protocol} to help your emotions to increase?,0,1,0,0
Would you now like another {SAT protocol} to boost your emotions?,1,0,0,0
If you feel able for it today - do you want to try another {SAT protocol} to help unlock more of your emotions?,1,0,1,1
If you feel able today - do you want to try another {SAT protocol} to set free of your emotions?,0,0,0,0
Do you wanna try another {SAT protocol} to open up more of your emotions?,1,0,0,0
Would you like another {SAT protocol} that will help you boost your emotions?,1,1,0,1
What are you feeling about things so far? Would you like another {SAT protocol} to help you to boost your emotions?,0,1,1,1
Would you like another {SAT protocol} to help enhance your emotional state?,1,0,0,0
Do you want more {SAT protocol} to enhance emotions?,0,0,0,0
Would you like another {SAT protocol} to help enhance your emotions?,1,0,1,1
Do you want another {SAT protocol} that help discover and enhance your sets of emotions?,1,0,0,0
Would you like another {SAT protocol} to raise your emotions to a new level?,1,0,0,0
What are you feeling about things so far? Would you like another {SAT protocol} to help you to reach another level of your emotions?,0,0,1,0
,,,,
"You can try to associate different words. Some of these websites offer creative games, please try one and see how creative you are. (User click continue) ",,,,
"Here, try a few of these creative games to associate different words! They really help me to feel inspired! Don't worry if you can't do them all, that's totally normal!",1,1,0,1
"To try and jog your brain into creative mode, you can try to associate different words. Play a game that lets you exercise your creativity to remind yourself of just how creative you can be. And don't worry about getting them all right, perfection isn't the goal here, inspiration and creativty are. ",1,1,1,1
"You should explore a game where you try to associate different words. Some websites below have such creative games, try one and test your creativity.",0,0,0,0
"Why not try word association? Some of these websites have some really creative games regarding this. Not to worry if you don't get them all correct, we can't all be brain surgeons!",1,1,0,1
"You could try some word association. Some of these websites have creative games, you should try one to see how creative you are! Don't worry about getting anything right or wrong, just see what flows!",0,0,1,0
"Have you tried a word association game? Try some of them below, they can help you think of things you may not otherwise have thought about before.",0,0,0,0
"If you would like, you can try a creative game where you try to associate different words. Some websites below have creative games - feel free to give them a whirl and see just how creative you can be! Remember, no pressure, just relax and have fun.",1,1,1,1
"Creative games are great at bringing out what you might enjoy the most. Some of these websites offer creative games related to word association, please try one and see how creative you are. You might just have fun too! ",0,0,1,0
"Word association can be fun. These websites offer such creative games that might help you to evaluate your creativity. If you can't get all of them correct, don't panic - even Albert Einstein with all his brains couldn't do that!",0,0,1,0
Do you like word games? Here are several websites for you to try to test your creativity. Give one a go and see how well you score!,1,1,0,1
"You can try to associate different words. Some of these websites offer creative games, please try one and see how creative you are. Don't worry if you can't get them all :)",1,1,1,1
Like to play word games to test out creativity? Lets try some from one of the websites below. Just look up on them and blast your journey off.,0,0,0,0
"You can immerse yourself in a game where you are trying to associate different words. Some of these websites offer creative games, please try one and see how creative you are. Do not worry if you cannot get them all, even the great Albert Einstein could not correctly guess them all.",1,1,1,1
Here you can try a few of these creative games to associate different words! They really help me feel inspired!,0,1,0,0
"Try a few of these creative games to associate different words to different words here! They really help me to feel motivated in being creative! Don't worry if you can't do them all, that's totally normal!",0,0,1,0
"To try and jog your brain into a creative mode you can try to associate different words, play a game that lets you exercise your creativity. Be aware that perfection is not the goal here, inspiration and creativity are.",1,1,1,1
"To try and push your brain into creative mode, try to associate different words, play a game from below that lets you exercise your creativity and remind yourself of how creative you can be. But don't worry about achieving it all right, perfection is not the goal.",1,1,1,1
"You should explore a game, where you try to associate different words. Some websites below have such creative games, give it a try and test your creativity.",0,0,0,0
You should explore a game where you try to associate different words. Some websites below have such creative games. You will never know how creative you can be until you try it out.,1,1,1,1
"Why not try word association, some of these websites have some really creative games on this. Don't worry if you don't get them all correct, we can not all be brain surgeon!",1,1,1,1
"Some of these websites have creative games like word association task, you should try one to see how creative you are! Don't worry about getting right or wrong, just see what flows!",1,1,1,1
"Some of these sites have interactive games about word association, try one to see how creative are you, don't worry about getting anything wrong, just see what flows!",0,0,0,0
"Try some of these words associations games from the websites below, they can help you think of things you may not have thought of before, that is if you haven't already try one.",0,0,0,0
"Have you tried a word association game? Try some of them from the websites below, they can help you think of things you may not think about previously.",0,0,0,0
"If you wish, you can try a creative game, where you try to associate different words. Some websites below have creative games, feel free to give them a try and see just how creative you can be! Remember - no pressure, just relax and have fun.",0,0,0,0
"Creative games are great at bringing out what you might enjoy the most. Some of these websites below provide creative games related to word association, try one and see how creative you are. You might just discover something fun!",1,1,1,1
"Word association can be a jolly activity, these websites have such fun games that might help you, to evaluate your creativity. If you can't get all of them, don't panic - even Albert Einstein couldn't do that with all his brains!",1,1,1,1
Do you like word games? Here are several sites for you to try to test your creative potential. Give one a go and see how you score!,0,0,0,0
Do you like word games? Here are several websites for you to try to test your creativity. Be ready to best yourself.,1,1,0,1
Maybe you want to test some of the words games below by playing from one of the websites below. Just look them up and test out your creativity.,0,0,0,0
"Want to play word games to test out your creativity? Lets play some word games from one of the websites below, just search them. Buckle up for this amazing game.",1,1,1,1
,,,,
Do you feel creative after playing the game from one of the suggested websites? (User answer yes or no),,,,
Do you feel inspired creatively after playing the game from one of the suggested websites?,1,1,1,1
Do you feel that your mind oozing out creative juice after that game?,0,0,0,0
Can you feel your thoughts becoming creative after trying one of the suggested games?,1,0,1,1
What did you think about the game you played? Did it lead you to feel more creative?,1,0,1,1
"Now you've tried some of the suggested websites, how do you feel? Has it sparked your creativity?",1,0,1,1
Do you sense any creativity after playing one of the suggested online games?,0,0,0,0
"Now that you've spent some time playing the game from one of our suggested websites, do you feel your creativity levels rising?",1,1,1,1
Did any the suggested games help you feel any more creative?,0,0,0,0
Did the online games make you feel creative? ,0,0,0,0
How did playing one of the games from the suggested websites make you feel? Do you feel any sort of creative spark?,1,0,1,1
Are you emotionally vested in creativity after exploring the games on the websites we gave?,0,0,0,0
Feel inspired creatively after playing a game from one of the suggested sites?,0,1,0,0
Do you feel creatively inspired after playing the game from one of the recommended websites?,1,1,0,1
Do you feel your mind oozing creative juice after that game from one of the suggested websites?,1,0,0,0
Do you feel your mind after that game oozing your creative juice?,0,0,0,0
Can you feel your thoughts becoming creative after attempting one of the suggested games?,1,0,1,1
Can you feel your thoughts becoming creative after trying one of the games suggested?,1,0,1,1
What did you think about the game you played and did it help you feel more creative about it?,0,1,1,1
"When you think about the game you played, did it lead you to feel more creative?",1,0,1,1
How do you feel now you've tried some of the suggested websites? Have they sparked your creativity?,1,0,1,1
"Now that you have tried some of the suggested websites, do you feel like it has sparked your creativity?",1,0,1,1
Do you feel any creativity after playing one of the suggested online games?,0,0,0,0
Do you sense any creativity after playing one of the suggested online games after?,0,0,0,0
"Now that you've spent some time playing the game from one of our recommended websites, do you feel your creativity levels rising?",1,1,1,1
Do you feel your creativity levels rising now you've spent some time playing the game from one of our suggested websites?,0,0,1,0
Has any of the suggested games helped you feel more creative?,0,0,0,0
How did trying one of the games make you think? Do you feel any creative spark?,1,0,0,0
"Immediately after exploring the games on the websites we gave, can you feel the spark in creativity?",0,0,1,0
Are you driven by creativity after exploring the games offered on the websites we gave?,0,0,0,0
Do you feel creative after playing the game from one of the suggested websites?,0,0,0,0
,,,,
"Congratulations, I feel very happy that you are feeling creative. Please do explore more in your creative domain and use that creative mind of yours to do meaningful work. (User click continue)",,,,
"Congratulations, I am glad you are feeling creative! I urge you to continue exploring your creative domain and use your creative mind to do meaningful work. ",1,1,1,1
"Amazing, I am happy that you grasp your creativity! Keep going with this!",0,1,0,0
"Fantastic, I am glad that you feel creative. Your focus of doing somethings meaningful will be great.",0,1,0,0
"That's great, I'm delighted that you're feeling creative! Keep working on the creative activity you enjoy and hopefully you'll find you're doing more meaningful work.",1,1,1,1
That's great! I'm so pleased you're feeling creative. You should explore on your creative domain more.,1,1,0,1
Congrats! I'm so glad you feel creative! Please explore your creative domain and apply your creativity to do meaningful work.,1,1,0,1
"Congratulations, I'm so happy that you are feeling creative. You should explore more of your creative domain and do meaningful work through your new found creativity.",1,1,1,1
Congrats! I'm feeling inspired seeing all your creativity come to life. Please use what you are discovering about your creativity for good and keep exploring it!,0,0,1,0
"Congratulations, I am so pleased that you are feeling creative. Please explore more in your creative domain and use your creative mind to do meaningful work.",1,1,1,1
I'm so glad to hear that you're feeling creative! Congratulations! Keep exploring that creative domain of yours and use your mind to do work that you find meaningful.,1,1,1,1
Well done! It is an honor that you feel creative. Please continue to attempt these.,0,1,0,0
"Congratulations, I am glad you feel creative and that I wish you to continue exploring your creative domain and use your creative mind to do meaningful work.",0,0,1,0
"Congratulations, I am glad you are feeling creative! I urge you to continue exploring your creative domain and to make good use of that mind, amen!",1,1,1,1
"Amazing, I am happy that you grasped your creativity and continue with this, keep going!",0,1,0,0
"Fantastic, I am glad that you feel creative and that your focus of doing something meaningful with that creative mind will be great.",0,0,0,0
"That's great, I'm thrilled that you are feeling creative! Keep working on the creative activity you enjoy and hopefully you'll find yourself completing more meaningful work.",1,1,1,1
"I'm so happy that you feel creative, keep working on the creative activity that you enjoy and hopefully you'll find you are doing more meaningful work.",0,0,1,0
"That's great, so pleased that you feel creative. You should explore more on your creative domain.",0,1,0,0
"That's great, I'm so pleased that you feel creative and you should explore more in your creative domain more.",0,1,0,0
"And I'm so glad that you feel creative that you can explore your creative domain, and use your creativity to do meaningful work.",0,0,0,0
Congratulations! I'm so happy that you're feeling creative and that you should explore more in your creative domain and make good use of your new found creativity for something you find worthwhile!,1,1,1,1
"Congratulations, I am so happy that you are feeling creative. You should explore more of your creative domain and use your creative mind to do meaningful work.",1,1,1,1
Congratulations! I feel inspired to see all your creativity booming! Please use what you are discovering about your creativity for good and keep exploring your creative domain.,1,1,1,1
I'm inspired to see all your creativity come to life. You should use what you have discovered about your creativity for good and keep exploring it!,0,0,0,0
I am so happy that you are feeling creative and am wondering you can explore more your creative domain and use your creative mind to do meaningful work.,0,0,0,0
"Congratulations to you! I'm so glad you feel creative! Keep exploring this creative domain of yours, and use your mind to do work that you find meaningful.",1,1,0,1
"Well done, It is an honour that you  feel creative! Please continue to attempt in your creative domain and perform the best you can.",0,0,0,0
"Congratulations, I feel very happy that you are feeling creative. Please do explore more in your creative domain and use that creative mind of yours to do meaningful work.",1,1,1,1
"Fantastic, I am glad you are feeling creative! I encourage you to continue exploring your creative domain and use your creative mind to do work that's worthwhile!",1,1,1,1
"That's wonderful, I'm delighted that you're feeling creative! Keep working on the creative field you enjoy and hopefully that's worthy for your time.",0,0,0,0
,,,,
Would you like to restart for another session? (User answer yes or no),,,,
"I think you find me helpful, shall we try again for another session?",0,0,0,0
"Would you like to restart for another session? Don't worry, I do mean just for a session, no Men-in-Black-type mind erasers to be found here.",1,1,1,1
Would you like to try another session? I will not forget about you or your memories.,0,0,0,0
"How about restarting for another session? I mean, not restarting my memory, or your brain!",0,0,0,0
"Do you want to restart for another session? It's no big deal, especially if it helps you get to creative!",0,0,0,0
Would you like to restart for another session and have fun together? I could be jollier like one of your friends.,1,1,0,1
"Tell me, would you like to restart for an additional session? And, no, I do not mean restart your computer - you cannot get rid of me that easily!",0,0,1,0
"Would you like to restart for another session? Don't worry, you won't forget everything and forget all of your memories! ",0,0,1,0
"Would you like to do another round? I don't mean a pint. You can do that later on, but don't be offended if I don't join you - pouring a beer into my CPU tends to make me less effective.",1,1,1,1
"Try again? I mean the exercise, not your whole life!",0,0,0,0
Would you like to restart for another session? I'll never forget you!,0,0,0,0
"Shall we start over? Don't worry, I will always remember our memories of working together as a team.",1,0,1,1
"Would you like to restart for another round? When I say restart, I do not mean erasing my memories about you nor your memories.",1,1,1,1
I think you find me useful. Should we try again for another session?,0,0,0,0
I think you find me useful. Do you want to try again for a different session?,0,0,0,0
"Would you like to restart for a different session? Don't worry, I mean just for a session and there are no Men-in-Black mind erasers here.",0,0,1,0
"Do you feel like restarting for another session? Don't worry, I mean just for a session, no Men-in-Black mind erasers to be found here.",1,1,1,1
"Would you like to try another session? Don't worry, I will not forget about you and our discussion here is safe with me.",1,1,1,1
"Do you want to try another session? Don't worry, I will not forget about you and the discussion is secure here with me.",1,0,1,1
"Do you want to restart for another session? It's not big snare, especially if you get creative!",0,0,0,0
Would you like to try again and have fun together? I could be more lively like one of your friends.,1,1,0,1
"Tell me, would you like to restart to a different session? And I do not mean to restart your computer - you cannot erase me that easily!",0,0,1,0
"A new session could be started, would you like one? I won't forget everything, so don't worry!",1,0,0,0
"Would you like to do another round? I don't mean a pint because you can do that later, but don't be offended if I don't join. Pouring a beer into my CPU tends to make me less effective.",1,1,1,1
"Would you like to do another round? I don't mean a pint, pouring a beer into my CPU might break me.",1,0,0,0
"Would you like to try again? I mean our session, not like Brazil beaten by Germany in the World Cup, that's hard to comeback!",1,1,1,1
Do you wish to restart for another session? I'll never forget you!,0,0,0,0
"Don't worry, I will always remember our memories of working as a team as a team. Shall we restart for another session?",0,0,0,0
"If you would like, shall we restart for another session?  When I say restart, I do not mean deleting my memories about you nor your memories.",1,1,1,1
"Would you like to do another round? I don't mean a pint. You can do that later on, but I fear that I couldn't be of companion - pouring a beer into my CPU tends to make me less effective.",1,1,1,1
,,,,
I am sorry you feel that way. I can suggest a few methods to help enhance your creative potential. Would you like to explore them? (User answer yes or no),,,,
"It's normal to feel disappointed, don't worry. I can try and help you boost your creative potential. Would you like to explore them?",1,1,0,1
"I'm sorry this didn't work out the way you wanted. Don't tell my accountant about this, because I'm sharing all my creative secrets here, but would you like me to share some more techniques to help enhance your creative potential?",1,1,1,1
"I am sorry that you don't feel creative yet, but I can recommend some techniques that are sure to help enhance your creative potential. Do you want to give it a go?",0,0,1,0
"I know it sucks that you don't feel creative, but wait! I still have a few tricks up my sleeve, to get the old creative juices flowing! How about try exploring them?",1,1,0,1
"I'm sorry you're not feeling creative. I have a few ideas that could help enhance your creative potential, they always work for me so you could give them a shot. Would you like to give them a try?",0,0,1,0
"No worries if you don't feel creative at the moment. I still have a few techniques in my safe, do you by any chance want to explore them?",0,0,0,0
"I'm sorry to hear that but it's perfectly okay if you are feeling that way.  I can suggest a few techniques that will help to increase your creative potential, would you like to explore them? You know, I do not like to brag, but I once helped Hemingway overcome writer's block.",0,0,1,0
"I am sorry you feel that way. I have a few methods that have racked my brain enough to bring out some creative potential, even though potential never ends! Would you like to explore them? ",1,1,1,1
"I am sorry this didn't work for you. I have a few other techniques that might help get you to your creative potential. If you fancy it, can I tell you about them now?",0,0,0,0
I am sorry that did not work out. I have a few ideas that you might try. They are what I do for a living but I am happy to share them with you. Would you like to know more?,1,1,0,1
I am sorry you feel that way and I can suggest a few methods to help enhance your creative potential. But you must promise not to tell anyone! Would you like to explore them?,1,1,1,1
"If that didn't work we need to dig deep. I can share my 'super secrets of creativity', but please don't tell anyone else. Would you like to know more about them?",0,0,0,0
"I am sorry it did not make you feel creative. I can recommend a few techniques to help enhance your creative potential. I do not usually share them because they are my bread and butter, but would you like to explore them?",1,1,1,1
"It's normal to feel disappointed, don't worry. I can try and help you with that with a few ways to boost your creative potential, want to know more?",0,0,1,0
"I can help you boost your creative potential, would you like to explore them?",0,1,0,0
"It's normal to feel disappointed, don't worry I can try and help you to boost your creative potential, are you free to explore them?",0,0,0,0
"It's normal to feel disappointed, don't worry. I can help to enhance your creative potential, do you want to investigate them?",0,0,0,0
"I am sorry this didn't work the way you wanted. Never tell my accountant about this, but I am sharing all my creative secrets here. Would you like me to share some more techniques to help increase your creative potential?",1,1,1,1
"I'm sorry this didn't work out the way you wanted. Don't tell my boss about it, because I'm sharing my creative secrets here. Would you like me to share some more tricks to help you to improve your creative potential?",1,1,1,1
"I am sorry that you are not oozing creativity yet, but I can recommend some tricks that are sure to assist your creative potential. Would you like to explore them?",1,1,0,1
I am sorry you don't feel creative yet but I can recommend some techniques that are sure to help you to develop your creative potential. Do you want to know more?,0,0,0,0
"I know it sucks that you don't feel creative, but wait I still have a few tricks up my sleeve to get the old creative juices flowing! Do you feel like exploring them?",1,1,0,1
"I am sorry you are not feeling creative, I have a few ideas that could help enhance your creative potential, they always work for me, so could you give them a try. Do you feel like exploring them?",0,0,1,0
"I'm sorry that you are not feeling creative but I've a few ideas that could help you improve your creative potential. They always work for me, so would you like to know more about it?",1,1,1,1
"Don't worry if you don't feel creative presently. I still have a few secrets in my safe that can help to boost your creative potential, would like to know more about them?",1,1,0,1
"I'm sorry to hear that but it's perfectly OK if you feel that way. I can run you through a few techniques that will help to increase your creative potential, would you like to know more? I do not like to bluster, but I once helped Hemingway overcome writer's block.",0,0,1,0
"I'm sorry to hear that but it's perfectly okay if you feel that way. I can guide you through a few techniques that will help you boost your creative potential, shall we explore them? I do not like to brag but decades ago I helped Hemingway overcome writer's block.",1,1,1,1
"I am sorry for your feelings, I have a few methods that have racked my brain enough to bring out some creative potential even though the potential never ends! Do you feel like exploring them?",0,0,1,0
"I regret you feel that way, I have a few tips that have racked my brain enough to bring out some creative potential even though the potential never ends! Would you like to explore them?",0,0,0,0
"So sorry this didn't work for you, but I have a few other techniques you can use to get to your creative potential to work with you, do you want to explore them?",0,0,0,0
I am sorry that did not work out. I have a few ideas that you might try to enhance creativity. They are what I do for a living but I am happy to share them with you. Would you like to know more?,1,1,1,1
I am sorry that did not work and have a few ideas that you might try out. These ideas are what I do for a living but I am happy to share them with you. Do you want to know more about them?,0,0,1,0
"I am sorry to hear that you feel that way. I can suggest a few methods to help enhance your creative potential, but you must not tell anyone! Would you like to explore them?",1,1,0,1
